Id,CIF,Entidad_Norm,Provincia_Entidad,ID_ENTIDAD,NIF_COD,ACRONIMO,NOMBRE_ENTIDAD,Nombre_Entidad_Mostrar,TIPO_ENTIDAD_N1_1,TIPO_ENTIDAD_N2_1,DIRECCION_POSTAL,COD_POSTAL,COD_PROVINCIA,PROVINCIA,COD_CCAA,CCAA,ENLACE_WEB,SOMMA,TIPO_ENTIDAD_REGIONAL,ESTADO_x,CodigoInvente,DenominacionSocial,FormaJuridica_Codigo,FormaJuridica_Descripcion,NIF,codigoDir3,codigoOrigen,Provincia_Codigo,C_ID_UD_ORGANICA,C_DNM_UD_ORGANICA,C_ID_NIVEL_ADMON,C_ID_TIPO_ENT_PUBLICA,N_NIVEL_JERARQUICO,C_ID_DEP_UD_SUPERIOR,C_DNM_UD_ORGANICA_SUPERIOR,C_ID_DEP_UD_PRINCIPAL,C_DNM_UD_ORGANICA_PRINCIPAL,B_SW_DEP_EDP_PRINCIPAL,C_ID_DEP_EDP_PRINCIPAL,C_DNM_UD_ORGANICA_EDP_PRINCIPAL,C_ID_ESTADO,D_VIG_ALTA_OFICIAL,NIF_CIF,C_ID_AMB_PROVINCIA,C_DESC_PROV,CONTACTOS,List_Entidad_Norm,List_Provincia_Entidad,List_CIF
11620,,facultad de ciencias edificio de biologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias edificio de biologia,,
11621,,facultad de ciencias edificio de biologia y centro de biologia molecular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias edificio de biologia y centro de biologia molecular,,
11622,,facultad de ciencias edificio mecenas campus de fuentenueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias edificio mecenas campus de fuentenueva,,
11623,,facultad de ciencias empresariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias empresariales,,
11624,,facultad de ciencias empresariales y del,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias empresariales y del,,
11625,,facultad de ciencias empresariales y tur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias empresariales y tur,,
11626,,facultad de ciencias empresariales y turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias empresariales y turismo,,
11627,,facultad de ciencias escuela de ingenieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias escuela de ingenieria,,
11628,,facultad de ciencias estudios agroalimentarios e informatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias estudios agroalimentarios e informatica,,
11629,,facultad de ciencias experimentales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias experimentales,,
11630,,facultad de ciencias experimentales de jaen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias experimentales de jaen,,
11631,,facultad de ciencias experimentales edetania univ cat san vicente martir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias experimentales edetania univ cat san vicente martir,,
11632,,facultad de ciencias experimentales uhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias experimentales uhu,,
11633,,facultad de ciencias fisicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias fisicas,,
11634,,facultad de ciencias geologicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias geologicas,,
11635,,facultad de ciencias humanas sociales y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas sociales y,,
11636,,facultad de ciencias humanas traduccion y documentacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas traduccion y documentacion,,
11637,,facultad de ciencias humanas y de la edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas y de la edu,,
11638,,facultad de ciencias humanas y de la educacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas y de la educacion,,
11639,,facultad de ciencias humanas y de la educacion de huesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas y de la educacion de huesca,,
11640,,facultad de ciencias humanas y de la educacion huesca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas y de la educacion huesca,,
11641,,facultad de ciencias humanas y sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias humanas y sociales,,
11642,,facultad de ciencias ioba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias ioba,,
11643,,facultad de ciencias iu cinquima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias iu cinquima,,
11644,,facultad de ciencias juridicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas,,
11645,,facultad de ciencias juridicas campus catalunya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas campus catalunya,,
11646,,facultad de ciencias juridicas economia y empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas economia y empresa,,
11647,,facultad de ciencias juridicas economicas y empresariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas economicas y empresariales,,
11648,,facultad de ciencias juridicas y de la empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y de la empresa,,
11649,,facultad de ciencias juridicas y del tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y del tra,,
11650,,facultad de ciencias juridicas y del trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y del trabajo,,
11651,,facultad de ciencias juridicas y economi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y economi,,
11652,,facultad de ciencias juridicas y economicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y economicas,,
11653,,facultad de ciencias juridicas y politicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y politicas,,
11654,,facultad de ciencias juridicas y sociale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y sociale,,
11655,,facultad de ciencias juridicas y sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y sociales,,
11656,,facultad de ciencias juridicas y sociales de 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y sociales de 45,,
11657,,facultad de ciencias juridicas y sociales de toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias juridicas y sociales de toledo,,
11658,,facultad de ciencias lugo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias lugo,,
11659,,facultad de ciencias matematicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias matematicas,,
11660,,facultad de ciencias medicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias medicas,,
11661,,facultad de ciencias nauticas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias nauticas,,
11662,,facultad de ciencias orense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias orense,,
11663,,facultad de ciencias politicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas,,
11664,,facultad de ciencias politicas y estudios internacionales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas y estudios internacionales,,
11665,,facultad de ciencias politicas y sociale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas y sociale,,
11666,,facultad de ciencias politicas y sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas y sociales,,
11667,,facultad de ciencias politicas y sociolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas y sociolo,,
11668,,facultad de ciencias politicas y sociologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias politicas y sociologia,,
11669,,facultad de ciencias quimicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias quimicas,,
11670,,facultad de ciencias quimicas ucm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias quimicas ucm,,
11671,,facultad de ciencias seccion farmacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias seccion farmacia,,
11672,,facultad de ciencias sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales,,
11673,,facultad de ciencias sociales de 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales de 16,,
11674,,facultad de ciencias sociales de cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales de cuenca,,
11675,,facultad de ciencias sociales de talavera de la reina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales de talavera de la reina,,
11676,,facultad de ciencias sociales en talaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales en talaver,,
11677,,facultad de ciencias sociales humanas y de la comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales humanas y de la comunicacion,,
11678,,facultad de ciencias sociales juridicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales juridicas,,
11679,,facultad de ciencias sociales juridicas y de la comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales juridicas y de la comunicacion,,
11680,,facultad de ciencias sociales juridicas y humanidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales juridicas y humanidades,,
11681,,facultad de ciencias sociales y de la co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y de la co,,
11682,,facultad de ciencias sociales y de la comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y de la comunicacion,,
11683,,facultad de ciencias sociales y del comportamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y del comportamiento,,
11684,,facultad de ciencias sociales y del trab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y del trab,,
11685,,facultad de ciencias sociales y del trabajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y del trabajo,,
11686,,facultad de ciencias sociales y filosofia fakultat fur sozialwissenschaften und philosohie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y filosofia fakultat fur sozialwissenschaften und philosohie,,
11687,,facultad de ciencias sociales y humanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y humanas,,
11688,,facultad de ciencias sociales y humanidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y humanidades,,
11689,,facultad de ciencias sociales y juridica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y juridica,,
11690,,facultad de ciencias sociales y juridicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y juridicas,,
11691,,facultad de ciencias sociales y juridicas de elche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociales y juridicas de elche,,
11692,,facultad de ciencias socialesobservatorio de los contenidos audiovisuales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias socialesobservatorio de los contenidos audiovisuales,,
11693,,facultad de ciencias sociosanitarias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias sociosanitarias,,
11694,,facultad de ciencias uab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias uab,,
11695,,facultad de ciencias universidad de cordoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias universidad de cordoba,,
11696,,facultad de ciencias universidad de zaragoza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias universidad de zaragoza,,
11697,,facultad de ciencias y artes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y artes,,
11698,,facultad de ciencias y facultad de medicina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y facultad de medicina,,
11699,,facultad de ciencias y genyo centro pfizer universidad de granada junta de andalucia de genomica y oncologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y genyo centro pfizer universidad de granada junta de andalucia de genomica y oncologia,,
11700,,facultad de ciencias y tecnlogias quimicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnlogias quimicas,,
11701,,facultad de ciencias y tecnologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologia,,
11702,,facultad de ciencias y tecnologia uvic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologia uvic,,
11703,,facultad de ciencias y tecnologias quimi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologias quimi,,
11704,,facultad de ciencias y tecnologias quimicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologias quimicas,,
11705,,facultad de ciencias y tecnologias quimicas de ciudad real uclm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologias quimicas de ciudad real uclm,,
11706,,facultad de ciencias y tecnologias quimicas uclm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnologias quimicas uclm,,
11707,,facultad de ciencias y tecnonogias quimicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de ciencias y tecnonogias quimicas,,
11708,,facultad de cienicas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de cienicas,,
11709,,facultad de comercio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comercio,,
11710,,facultad de comercio turismo y ciencias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comercio turismo y ciencias,,
11711,,facultad de comercio y gestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comercio y gestion,,
11712,,facultad de comercio y turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comercio y turismo,,
11713,,facultad de comunicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion,,
11714,,facultad de comunicacion educacion y hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion educacion y hu,,
11715,,facultad de comunicacion y artes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion y artes,,
11716,,facultad de comunicacion y ciencias soci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion y ciencias soci,,
11717,,facultad de comunicacion y documentacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion y documentacion,,
11718,,facultad de comunicacion y documentacion universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion y documentacion universidad de murcia,,
11719,,facultad de comunicacion y humanidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de comunicacion y humanidades,,
11720,,facultad de deporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de deporte,,
11721,,facultad de derecho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho,,
11722,,facultad de derecho campus de jerez de la frontera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho campus de jerez de la frontera,,
11723,,facultad de derecho de albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho de albacete,,
11724,,facultad de derecho de la universidad de la laguna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho de la universidad de la laguna,,
11725,,facultad de derecho de la universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho de la universidad de murcia,,
11726,,facultad de derecho de la universidad de murcia espana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho de la universidad de murcia espana,,
11727,,facultad de derecho economia y turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho economia y turismo,,
11728,,facultad de derecho esade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho esade,,
11729,,facultad de derecho icade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho icade,,
11730,,facultad de derecho seccion bizkaia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho seccion bizkaia,,
11731,,facultad de derecho sede de algeciras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho sede de algeciras,,
11732,,facultad de derecho universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho universidad de murcia,,
11733,,facultad de derecho y ciencias economica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y ciencias economica,,
11734,,facultad de derecho y ciencias economicas y empresariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y ciencias economicas y empresariales,,
11735,,facultad de derecho y ciencias empresariales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y ciencias empresariales,,
11736,,facultad de derecho y ciencias sociales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y ciencias sociales,,
11737,,facultad de derecho y ciencias sociales ciudad real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y ciencias sociales ciudad real,,
11738,,facultad de derecho y criminologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y criminologia,,
11739,,facultad de derecho y criminologia universidad de gante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y criminologia universidad de gante,,
11740,,facultad de derecho y economia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y economia,,
11741,,facultad de derecho y empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de derecho y empresa,,
11742,,facultad de economia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia,,
11743,,facultad de economia empresa y turismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia empresa y turismo,,
11744,,facultad de economia y empresa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia y empresa,,
11745,,facultad de economia y empresa sarriko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia y empresa sarriko,,
11746,,facultad de economia y empresa universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia y empresa universidad de murcia,,
11747,,facultad de economia y empresa universidad de salamanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia y empresa universidad de salamanca,,
11748,,facultad de economia y gestion publica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de economia y gestion publica,,
11749,,facultad de eduacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de eduacion,,
11750,,facultad de eduacion y psicologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de eduacion y psicologia,,
11751,,facultad de educacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion,,
11752,,facultad de educacion albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion albacete,,
11753,,facultad de educacion albacete uclm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion albacete uclm,,
11754,,facultad de educacion centro de formacion del profesorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion centro de formacion del profesorado,,
11755,,facultad de educacion ciudad real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion ciudad real,,
11756,,facultad de educacion cr centro de investigacion y documentacion musical unid asoc csic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion cr centro de investigacion y documentacion musical unid asoc csic,,
11757,,facultad de educacion de albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de albacete,,
11758,,facultad de educacion de badajoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de badajoz,,
11759,,facultad de educacion de bilbao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de bilbao,,
11760,,facultad de educacion de ciudad real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de ciudad real,,
11761,,facultad de educacion de ciudad real universidad de castilla la mancha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de ciudad real universidad de castilla la mancha,,
11762,,facultad de educacion de cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de cuenca,,
11763,,facultad de educacion de la universidad de murcia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de la universidad de murcia,,
11764,,facultad de educacion de palencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de palencia,,
11765,,facultad de educacion de segovia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de segovia,,
11766,,facultad de educacion de toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion de toledo,,
11767,,facultad de educacion economia y tecnol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion economia y tecnol,,
11768,,facultad de educacion filosofia y antro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion filosofia y antro,,
11769,,facultad de educacion filosofia y antropologia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion filosofia y antropologia,,
11770,,facultad de educacion instituto de integracion en la comunidad inico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion instituto de integracion en la comunidad inico,,
11771,,facultad de educacion luis vives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion luis vives,,
11772,,facultad de educacion psicologia y cc del deporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion psicologia y cc del deporte,,
11773,,facultad de educacion psicologia y cien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion psicologia y cien,,
11774,,facultad de educacion psicologia y ciencias del deporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion psicologia y ciencias del deporte,,
11775,,facultad de educacion psicologia y trab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion psicologia y trab,,
11776,,facultad de educacion psicologia y trabajo social,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion psicologia y trabajo social,,
11777,,facultad de educacion traduccion y cien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion traduccion y cien,,
11778,,facultad de educacion traduccion y ciencias humanas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion traduccion y ciencias humanas,,
11779,,facultad de educacion universidad catolica de valencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,facultad de educacion universidad catolica de valencia,,
