"Id";"Entidad";"Origen_Solicitud";"Identificadores_Origen";"Entidad_Norm";"CIF";"CIF_validacion";"Centro";"Centro_Norm";"Tipo";"Provincia_Entidad";"Pais_Entidad";"Provincia_Centro";"PIC";"Tipo_Persona";"Entidad_Match";"Provincia_Match";"Match"
539;"FUNDACIÓN CENTRO DE INNOVACIÓN DE INFRAESTRUCTURAS INTELIGENTES (CI3)";"ACT_NAC";150161;"fundacion centro de innovacion de infraestructuras inteligentes ci3";"G19272822";"1";"FUNDACION CENTRO DE INNOVACIÓN DE INFRAESTRUCTURAS INTELIGENTES";"fundacion centro de innovacion de infraestructuras inteligentes";"29999";"";"724,0000";"";"";"";"centro de innovacion de infraestructuras inteligentes";19;"NIF MCIN"
237;"CSIC";"ACT_NAC";136272;"csic";"Q2818002D";"1";"INSTITUTO DE TECNOLOGÍAS FÍSICAS Y DE LA INFORMACIÓN ""LEONARDO TORRES QUEVEDO"" (ITEFI)";"instituto de tecnologias fisicas y de la informacion leonardo torres quevedo itefi";"29999";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
843;"UNIVERSIDAD COMPLUTENSE DE MADRID";"ACT_NAC";449473;"universidad complutense de madrid";"Q2818014I";"1";"FACULTAD DE FARMACIA";"facultad de farmacia";"20101";"";"724,0000";"";"";"";"universidad complutense de madrid";28;"NIF MCIN"
875;"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA";"ACT_NAC";284690;"universidade de santiago de compostela";"Q1518001A";"1";"FACULTAD DE PSICOLOGÍA";"facultad de psicologia";"20101";"";"724,0000";"";"";"";"universidad de santiago de compostela";15;"NIF MCIN"
277;"FUNDACION AYESA";"ACT_NAC";386904;"fundacion ayesa";"G91809228";"1";"FUNDACION AYESA";"fundacion ayesa";"29999";"";"724,0000";"";"";"";"fundacion ayesa";41;"NIF MCIN"
836;"UNIVERSIDAD AUTONOMA DE MADRID";"ACT_NAC";455572;"universidad autonoma de madrid";"Q2818013A";"1";"FACULTAD DE CIENCIAS";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad autonoma de madrid";28;"NIF MCIN"
847;"UNIVERSIDAD DE GRANADA";"ACT_NAC";454262;"universidad de granada";"Q1818002F";"1";"FACULTAD DE CIENCIAS";"facultad de ciencias";"20101";"";"724,0000";"";"";"";"universidad de granada";18;"NIF MCIN"
847;"UNIVERSIDAD DE GRANADA";"ACT_NAC";264748;"universidad de granada";"Q1818002F";"1";"FACULTAD DE MEDICINA";"facultad de medicina";"20101";"";"724,0000";"";"";"";"universidad de granada";18;"NIF MCIN"
860;"UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE";"ACT_NAC";179260;"universidad miguel hernandez de elche";"Q5350015C";"1";"77";"77";"20101";"";"724,0000";"";"";"";"universidad miguel hernandez de elche";3;"NIF MCIN"
167;"INSTITUTO REGIONAL DE INVESTIGACIÓN Y DESARROLLO AGROALIMENTARIO Y FORESTAL DE CASTILLA-LA MANCHA (IRIAF)";"ACT_NAC";23533;"instituto regional de investigacion y desarrollo agroalimentario y forestal de castilla la mancha iriaf";"Q1300422A";"1";"Centro de Investigación Apícola y Agroambiental (CIAPA)";"centro de investigacion apicola y agroambiental ciapa";"20501";"";"724,0000";"";"";"";"instituto regional de investigacion y desarrollo agroalimentario y forestal de castilla la mancha";13;"NIF MCIN"
292;"INSTITUTO ARAGONES DE CIENCIAS DE LA SALUD";"ACT_NAC";31664;"instituto aragones de ciencias de la salud";"Q5000654C";"1";"INSTITUTO ARAGONES DE CIENCIAS DE LA SALUD";"instituto aragones de ciencias de la salud";"20510";"";"724,0000";"";"";"";"instituto aragones de ciencias de la salud";50;"NIF MCIN"
859;"Universidad de Málaga";"ACT_NAC";741817;"universidad de malaga";"Q2918001E";"1";"Escuela de Ingenierías Industriales";"escuela de ingenierias industriales";"20101";"";"724,0000";"";"";"";"universidad de malaga";29;"NIF MCIN"
859;"UNIVERSIDAD DE MÁLAGA";"ACT_NAC";29210;"universidad de malaga";"Q2918001E";"1";"DPTO. INGENIERIA DE SISTEMAS Y AUTOMATICA";"dpto ingenieria de sistemas y automatica";"29999";"";"724,0000";"";"";"";"universidad de malaga";29;"NIF MCIN"
868;"UNIVERSIDAD POLITECNICA DE MADRID";"ACT_NAC";398504;"universidad politecnica de madrid";"Q2818015F";"1";"ESCUELA TECNICA SUPERIOR DE INGENIEROS AERONAUTICOS";"escuela tecnica superior de ingenieros aeronauticos";"20101";"";"724,0000";"";"";"";"universidad politecnica de madrid";28;"NIF MCIN"
884;"FUNDACION UNIVERSITARIA SAN PABLO CEU";"ACT_NAC";454771;"fundacion universitaria san pablo ceu";"G28423275";"1";"USP-CEU FACULTAD DE HUMANIDADES Y CIENCIAS DE LA COMUNICACIÓN";"usp ceu facultad de humanidades y ciencias de la comunicacion";"20102";"";"724,0000";"";"";"";"universidad cardenal herrera ceu";46;"NIF MCIN"
1872;"FUNDACIÓN PÚBLICA ANDALUZA PARA LA INVESTIGACIÓN DE MÁLAGA EN BIOMEDICINA Y SALUD ¿ FIMABIS";"ACT_NAC";339972;"fundacion publica andaluza para la investigacion de malaga en biomedicina y salud fimabis";"G29830643";"1";"FUNDACIÓN PÚBLICA ANDALUZA PARA LA INVESTIGACIÓN DE MÁLAGA EN BIOMEDICINA Y SALUD ¿ FIMABIS";"fundacion publica andaluza para la investigacion de malaga en biomedicina y salud fimabis";"20502";"";"724,0000";"";"";"";"fundacion publica andaluza para la investigacion malaguena en biomedicina y salud fimabis";29;"NIF MCIN"
1885;"FUNDACION PARA LA GESTION DE LA INVESTIGACION BIOMEDICA DE CADIZ";"ACT_NAC";134912;"fundacion para la gestion de la investigacion biomedica de cadiz";"G72109168";"1";"D.S.A.P. Bahía de Cádiz-La Janda";"d s a p bahia de cadiz la janda";"20507";"";"724,0000";"";"";"";"fundacion para la gestion de la investigacion biomedica de cadiz";11;"NIF MCIN"
840;"UNIVERSIDAD DE CANTABRIA";"ACT_NAC";616938;"universidad de cantabria";"Q3918001C";"1";"DPTO. INGENIERIA QUIMICA Y QUIMICA INORGANICA";"dpto ingenieria quimica y quimica inorganica";"20101";"";"724,0000";"";"";"";"universidad de cantabria";39;"NIF MCIN"
841;"UNIVERSIDAD CARLOS III DE MADRID";"ACT_NAC";545924;"universidad carlos iii de madrid";"Q2818029G";"1";"UNIVERSIDAD CARLOS III DE MADRID";"universidad carlos iii de madrid";"20101";"";"724,0000";"";"";"";"universidad carlos iii de madrid";28;"NIF MCIN"
843;"Universidad Complutense de Madrid";"ACT_NAC";739668;"universidad complutense de madrid";"Q2818014I";"1";"Facultad de Filosofía";"facultad de filosofia";"20101";"";"724,0000";"";"";"";"universidad complutense de madrid";28;"NIF MCIN"
844;"UNIVERSIDAD DE CÓRDOBA";"ACT_NAC";137576;"universidad de cordoba";"Q1418001B";"1";"FACULTAD DE VETERINARIA";"facultad de veterinaria";"20101";"";"724,0000";"";"";"";"universidad de cordoba";14;"NIF MCIN"
879;"UNIVERSIDAD DE VIGO";"ACT_NAC";80821;"universidad de vigo";"Q8650002B";"1";"ESCUELA UNIVERSITARIA ESTUDIOS EMPRESARIALES";"escuela universitaria estudios empresariales";"29999";"";"724,0000";"";"";"";"universidad de vigo";36;"NIF MCIN"
237;"CSIC";"ACT_NAC";150250;"csic";"Q2818002D";"1";"CENTRO DE AUTOMATICA Y ROBOTICA (CAR)";"centro de automatica y robotica car";"29999";"";"724,0000";"";"";"";"consejo superior de investigaciones cientificas csic";28;"NIF MCIN"
858;"UNIVERSIDAD DE LLEIDA";"ACT_NAC";29272;"universidad de lleida";"Q7550001G";"1";"ESCUELA  POLITECNICA SUPERIOR";"escuela politecnica superior";"29999";"";"724,0000";"";"";"";"universitat de lleida";25;"NIF MCIN"
183;"FUNDACION PRIVADA INSTITUTO DE INVESTIGACION ONCOLOGICA VALLE DE HEBRON- VHIO";"ACT_NAC";208538;"fundacion privada instituto de investigacion oncologica valle de hebron vhio";"G64384969";"1";"HOSPITAL VALLE DE HEBRON";"hospital valle de hebron";"20510";"";"724,0000";"";"";"";"vall d hebron institut d oncologia";8;"NIF MCIN"
840;"UNIVERSIDAD DE CANTABRIA";"ACT_NAC";264488;"universidad de cantabria";"Q3918001C";"1";"INSTITUTO DE FISICA DE CANTABRIA (IFCA)";"instituto de fisica de cantabria ifca";"20101";"";"724,0000";"";"";"";"universidad de cantabria";39;"NIF MCIN"
859;"UNIVERSIDAD DE MALAGA";"ACT_NAC";563713;"universidad de malaga";"Q2918001E";"1";"FACULTAD DE MEDICINA";"facultad de medicina";"20101";"";"724,0000";"";"";"";"universidad de malaga";29;"NIF MCIN"
877;"UNIVERSIDAD DE VALENCIA";"ACT_NAC";617866;"universidad de valencia";"Q4618001D";"1";"INSTITUTO DE CIENCIA MOLECULAR";"instituto de ciencia molecular";"20101";"";"724,0000";"";"";"";"universitat de valencia";46;"NIF MCIN"
1872;"FUNDACION PARA LA INVESTIGACION DE MALAGA EN BIOMEDICINA Y SALUD (FIMABIS)";"ACT_NAC";130180;"fundacion para la investigacion de malaga en biomedicina y salud fimabis";"G29830643";"1";"INSTITUTO DE INVESTIGACION BIOMEDICA DE MALAGA (IBIMA)";"instituto de investigacion biomedica de malaga ibima";"29900";"";"724,0000";"";"";"";"fundacion publica andaluza para la investigacion malaguena en biomedicina y salud fimabis";29;"NIF MCIN"
286;"INSTITUTO VALENCIANO DE INVESTIGACIONES AGRARIAS CAV";"ACT_NAC";478336;"instituto valenciano de investigaciones agrarias cav";"Q9650009E";"1";"INSTITUTO VALENCIANO DE INVESTIGACIONES AGRARIAS CAV";"instituto valenciano de investigaciones agrarias cav";"20507";"";"724,0000";"";"";"";"instituto valenciano de investigaciones agrarias";46;"NIF MCIN"
857;"Universidad de León";"ACT_NAC";243836;"universidad de leon";"Q2432001B";"1";"Facultad de Veterinaria";"facultad de veterinaria";"20101";"";"724,0000";"";"";"";"universidad de leon";24;"NIF MCIN"
